Número de documentos (noticias) del corpus: 5909
Número de palabras del corpus: 507648
Palabra:abstractive Frec:1 LogProb:-12.501144223213357
Palabra:abstractly Frec:0 LogProb:-13.194291403773303
Palabra:abstractness Frec:0 LogProb:-13.194291403773303
Palabra:abstractor Frec:3 LogProb:-11.807997042653412
Palabra:abstruse Frec:2 LogProb:-12.095679115105193
Palabra:absurd Frec:4 LogProb:-11.584853491339203
Palabra:absurdity Frec:0 LogProb:-13.194291403773303
Palabra:absurdly Frec:0 LogProb:-13.194291403773303
Palabra:abu Frec:8 LogProb:-10.997066826437084
Palabra:abundance Frec:2 LogProb:-12.095679115105193
Palabra:abundant Frec:2 LogProb:-12.095679115105193
Palabra:abundantly Frec:0 LogProb:-13.194291403773303
Palabra:abusable Frec:2 LogProb:-12.095679115105193
Palabra:abuse Frec:90 LogProb:-8.683431897256453
Palabra:abusive Frec:1 LogProb:-12.501144223213357
Palabra:abut Frec:4 LogProb:-11.584853491339203
Palabra:abutting Frec:3 LogProb:-11.807997042653412
Palabra:abysm Frec:1 LogProb:-12.501144223213357
Palabra:abysmal Frec:3 LogProb:-11.807997042653412
Palabra:abyss Frec:1 LogProb:-12.501144223213357
Palabra:academe Frec:2 LogProb:-12.095679115105193
Palabra:academic Frec:15 LogProb:-10.421702681533521
Palabra:academical Frec:0 LogProb:-13.194291403773303
Palabra:academically Frec:0 LogProb:-13.194291403773303
Palabra:academician Frec:3 LogProb:-11.807997042653412
Palabra:academy Frec:4 LogProb:-11.584853491339203
Palabra:acaroid Frec:1 LogProb:-12.501144223213357
Palabra:accede Frec:3 LogProb:-11.807997042653412
Palabra:accelerate Frec:11 LogProb:-10.709384753985303
Palabra:accelerated Frec:6 LogProb:-11.248381254717989
Palabra:acceleration Frec:0 LogProb:-13.194291403773303
Palabra:accelerative Frec:0 LogProb:-13.194291403773303
Palabra:accelerator Frec:1 LogProb:-12.501144223213357
Palabra:accelerometer Frec:1 LogProb:-12.501144223213357
Palabra:accent Frec:8 LogProb:-10.997066826437084
Palabra:accentual Frec:2 LogProb:-12.095679115105193
Palabra:accentuate Frec:2 LogProb:-12.095679115105193
Palabra:accentuation Frec:0 LogProb:-13.194291403773303
Palabra:accept Frec:220 LogProb:-7.79612870225555
Palabra:acceptability Frec:0 LogProb:-13.194291403773303
Palabra:acceptable Frec:19 LogProb:-10.198559130219312
Palabra:acceptance Frec:140 LogProb:-8.245531513395134
Palabra:acceptant Frec:3 LogProb:-11.807997042653412
Palabra:acceptation Frec:0 LogProb:-13.194291403773303
Palabra:accepted Frec:88 LogProb:-8.705655034041163
Palabra:acception Frec:0 LogProb:-13.194291403773303
